,,113學年度大學分發入學　 各系組最低錄取標準及錄取人數一覽表,,,,
系組,,,,錄取人數,普通生,原住民
710,國立陽明交通大學,電機工程學系丙組(醫學電資組),化x1.50 物x1.50 數甲x1.00 英x1.00 國x1.00,2,324,-----
711,國立陽明交通大學,光電工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00,12,201,-----
712,國立陽明交通大學,資訊工程學系甲組,數甲x1.00 英x1.00 物x1.00 化x1.00 國x1.00,5,270,-----
713,國立陽明交通大學,資訊工程學系乙組,數甲x1.00 英x1.00 物x1.00 化x1.00 國x1.00,25,265,-----
714,國立陽明交通大學,半導體工程學系固態電子組,數甲x1.50 物x1.50 化x1.00 英x1.00 國x1.00,8,309.5,310.15
715,國立陽明交通大學,半導體工程學系奈米科學組,數甲x1.50 物x1.50 化x1.00 英x1.00 國x1.00,4,306.5,-----
716,國立陽明交通大學,材料科學與工程學系-伊利諾雙聯組,物x1.00 化x1.00 數甲x1.00 自x1.00 英x1.00,3,263,-----
717,國立陽明交通大學,材料科學與工程學系,物x1.00 化x1.00 數甲x1.00 自x1.00 英x1.00,14,258,-----
720,國立陽明交通大學,機械工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00,35,193,-----
,,土木工程學系(科技暨基礎建設永續發展,,,,
721,國立陽明交通大學,,數甲x1.00 物x1.00 英x1.00 化x1.00,31,178,-----
,,組),,,,
722,國立陽明交通大學,理學院科學學士學位學程甲組,物x1.00 數甲x1.00 化x1.00 英x1.00,9,198,-----
723,國立陽明交通大學,電子物理學系光電與奈米科學組,物x1.50 數甲x1.00 化x1.00 英x1.00,6,231.5,-----
724,國立陽明交通大學,電子物理學系電子物理組,物x1.00 數甲x1.00 化x1.00 英x1.00,12,203,-----
725,國立陽明交通大學,應用化學系,化x1.50 物x1.00 數甲x1.00 英x1.00 國x1.00,26,263.5,-----
726,國立陽明交通大學,應用數學系,數甲x2.00 物x1.50 化x1.00 英x1.50,11,283.5,-----
727,國立陽明交通大學,生物科技學系甲組,生x1.50 化x1.25 英x1.25 數甲x1.00 物x1.00,20,272.5,-----
730,國立陽明交通大學,生物科技學系乙組,數甲x1.25 化x1.25 物x1.25 英x1.00,6,217.25,-----
731,國立陽明交通大學,資訊管理與財務金融學系資訊管理組,數甲x2.00 英x1.50 國x1.00,4,234.5,-----
,,資訊管理與財務金融學系財務金融組,,,,
732,國立陽明交通大學,,數甲x2.00 英x2.00 國x1.00,3,261,-----
,,(自然組),,,,
,,資訊管理與財務金融學系財務金融組(社,,,,
733,國立陽明交通大學,,數Ax1.50 英x1.50 公x1.00,1,211,-----
,,會組),,,,
734,國立陽明交通大學,管理科學系(自然組),英x1.50 數甲x1.00 國x1.00,14,172,-----
735,國立陽明交通大學,管理科學系(社會組),英x1.50 數Ax1.00 歷x1.00,11,162.5,-----
736,國立陽明交通大學,運輸與物流管理學系,數甲x1.50 英x1.50 國x1.00 物x1.00,16,222.5,-----
737,國立陽明交通大學,工業工程與管理學系,數甲x1.00 英x1.00 國x1.00 物x1.00,22,187,-----
740,國立陽明交通大學,外國語文學系,英x2.00 國x1.50 地x1.00 歷x1.00,25,267.5,-----
741,國立陽明交通大學,傳播與科技學系,國x1.50 英x1.50 歷x1.00 地x1.00,14,249,-----
742,國立陽明交通大學,人文社會學系,國x1.00 英x1.00 公x1.00 歷x1.00 地x1.00,27,240,278.1
743,國立陽明交通大學,醫學系(自費),英x1.00 生x1.00 化x1.00 數甲x1.00 物x1.00,29,284,336.15
744,國立陽明交通大學,醫學系(公費),英x1.00 生x1.00 化x1.00 數甲x1.00 物x1.00,3,262,-----
745,國立陽明交通大學,牙醫學系,生x1.00 化x1.00 英x1.00 數甲x1.00 物x1.00,28,275,317.25
746,國立陽明交通大學,醫學生物技術暨檢驗學系,化x2.00 英x1.75 生x1.75 數甲x1.00 國x1.00,18,370.5,-----
747,國立陽明交通大學,生物醫學影像暨放射科學系,數甲x1.25 化x1.25 物x1.25 英x1.00 生x1.00,24,252,-----
,,,113學年度最低錄取標準-第15頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
750,國立陽明交通大學,物理治療暨輔助科技學系,生x1.25 英x1.25 物x1.00 數甲x1.00 化x1.00,22,267,-----
751,國立陽明交通大學,護理學系,英x1.50 生x1.00 化x1.00 數甲x1.00 國x1.00,14,249.5,-----
752,國立陽明交通大學,生命科學系暨基因體科學研究所,數甲x1.00 物x1.00 化x1.25 生x1.50 英x1.25,16,271,-----
753,國立陽明交通大學,生物醫學工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00,18,190,-----
754,國立陽明交通大學,學士班大一大二不分系,數甲x1.00 物x1.00 化x1.00 生x1.00 英x1.00,3,253,-----
755,國立陽明交通大學,藥學系,化x1.00 數甲x1.00 英x1.00 生x1.00 物x1.00,19,258,-----
756,國立陽明交通大學,中醫學系,生x1.00 英x1.00 化x1.00 數甲x1.00 國x1.00,17,267,302.4
757,淡江大學,中國文學學系,國x2.00 歷x1.50 英x1.00,41,118,-----
,,,,,,
760,淡江大學,歷史學系,歷x2.00 國x1.50 英x1.00,42,135,-----
,,,,,,
761,淡江大學,資訊與圖書館學系,英x1.00 國x2.00 公x1.00,64,106,109.1
762,淡江大學,大眾傳播學系,英x1.00 國x1.00 公x1.00,66,88,-----
763,淡江大學,資訊傳播學系,國x2.00 英x1.00 數Bx1.00 公x1.00,33,144,-----
764,淡江大學,教育科技學系,公x1.50 國x1.50 英x1.00,40,107,-----
765,淡江大學,教育與未來設計學系,公x2.00 國x2.00 英x1.00,19,143,-----
766,淡江大學,英文學系,英x2.00 國x1.00 歷x1.00,60,100,107.3
767,淡江大學,英文學系全英語學士班,英x2.00 國x1.00 歷x1.00,19,79,-----
770,淡江大學,法國語文學系,英x1.00 國x1.00 歷x1.00,39,77,90.45
771,淡江大學,德國語文學系,英x1.00 國x1.00 地x1.00,31,73,-----
772,淡江大學,西班牙語文學系,英x1.00 國x1.00 歷x1.00,26,91,-----
773,淡江大學,日本語文學系,國x2.00 英x1.00 歷x1.00,59,138,140.3
774,淡江大學,俄國語文學系,英x1.00 國x1.00 歷x1.00,17,71,-----
775,淡江大學,財務金融學系,數Bx2.00 國x1.00 公x1.00,67,139,-----
,,財務金融學系全球財務管理全英語學士,,,,
776,淡江大學,,英x2.00 公x1.50 數Bx1.00,11,133.5,-----
,,班,,,,
777,淡江大學,產業經濟學系,公x2.00 數Bx1.50 國x1.00,33,129.5,-----
1000,淡江大學,國際企業學系經貿管理組,英x1.50 歷x1.50 數Bx1.00,45,110,-----
1001,淡江大學,國際企業學系國際商學全英語組,英x2.00 歷x1.50 數Bx1.00,14,112.5,-----
1002,淡江大學,風險管理與保險學系,數Bx1.00 國x1.00 歷x1.00,66,81,83.7
1003,淡江大學,經濟學系,數Bx2.00 國x1.00 公x1.00,81,116,-----
1004,淡江大學,會計學系,公x1.50 國x1.50 數Bx1.00,117,130.5,140.3
1005,淡江大學,企業管理學系,國x1.50 歷x1.50 數Bx1.00,84,129,-----
1006,淡江大學,統計學系,數Bx1.50 地x1.50 國x1.00,27,122.5,-----
,,,113學年度最低錄取標準-第16頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1007,淡江大學,資訊管理學系,數Bx1.50 英x1.50 公x1.00,92,102,-----
1010,淡江大學,運輸管理學系,國x2.00 地x1.50 數Bx1.00,32,150,-----
1011,淡江大學,公共行政學系,國x1.50 公x1.00 歷x1.00,56,127,133.1
1012,淡江大學,管理科學學系,國x1.00 數Bx1.00 公x1.00,36,81,-----
1013,淡江大學,外交與國際關係學系全英語學士班,英x1.50 歷x1.00 國x1.00,12,96,-----
1014,淡江大學,國際觀光管理學系全英語學士班,英x1.25 國x1.00 地x1.00,22,63,-----
1015,淡江大學,全球政治經濟學系全英語學士班,英x2.00 國x1.00 公x1.00,18,67,-----
1016,淡江大學,應用數學與數據科學學系,數甲x2.00 英x1.00 國x1.00,21,119,-----
1017,淡江大學,化學學系,化x2.00 英x1.00 數Ax1.00,24,120,-----
1020,淡江大學,物理學系(量子材料組),物x2.00 數Ax1.50 英x1.00,25,123,-----
1021,淡江大學,物理學系(天文與基礎物理組),物x2.00 數Ax1.50 英x1.00 國x1.00,13,156.5,-----
1022,淡江大學,建築學系,英x2.00 國x2.00 物x1.50,19,197.5,-----
1023,淡江大學,土木工程學系,物x1.25 數甲x1.00 國x2.00,39,136,-----
1024,淡江大學,資訊工程學系,數甲x2.00 英x1.00 國x2.00,63,181,193.55
1025,淡江大學,資訊工程學系全英語學士班,英x2.00 數Bx2.00 歷x1.00,16,113,-----
,,,,,,
1026,淡江大學,機械與機電工程學系,物x1.00 國x2.00 英x1.00,36,144,-----
,,,,,,
1027,淡江大學,電機工程學系電機資訊組,物x1.50 英x1.00 國x1.00,32,129,138.7
1030,淡江大學,電機工程學系電機通訊組,物x1.50 英x1.00 國x1.00,15,124,-----
1031,淡江大學,電機工程學系電機與系統組,物x1.50 英x1.00 國x1.00,12,128,-----
1032,淡江大學,化學工程與材料工程學系,化x1.50 數甲x1.00 國x1.00,51,115.5,135.65
1033,淡江大學,航空太空工程學系,物x1.00 數甲x1.00 英x1.00,35,82,-----
1034,淡江大學,水資源及環境工程學系,國x2.00 英x1.00 數甲x1.00,12,134,-----
1035,淡江大學,人工智慧學系,英x1.00 國x1.00 物x1.00,35,100,121.5
1036,逢甲大學,機械與電腦輔助工程學系,國x2.00 數甲x1.50 物x1.25,23,164.25,166.3
1037,逢甲大學,纖維與複合材料學系,數甲x2.00 化x2.00 英x1.00 國x2.00,27,225,-----
1040,逢甲大學,工業工程與系統管理學系A組,國x2.00 英x2.00 數甲x1.00,8,185,-----
1041,逢甲大學,工業工程與系統管理學系B組,國x2.00 英x2.00 數Bx1.00 地x1.00,9,201,-----
1042,逢甲大學,化學工程學系,化x2.00 數甲x1.00 英x1.00 物x2.00 國x2.00,34,273,-----
1043,逢甲大學,航太與系統工程學系,數Ax1.50 物x1.75 英x1.00 國x2.00,16,233,249.25
1044,逢甲大學,精密系統設計學士學位學程,物x1.50 數甲x2.00 國x2.00 英x1.00,12,208.5,-----
1045,逢甲大學,應用數學系A組,數甲x2.00 英x1.50 國x2.00,19,183.5,-----
1046,逢甲大學,應用數學系B組,數Bx2.00 英x1.25 國x1.75 物x1.00,13,199.5,-----
,,,113學年度最低錄取標準-第17頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1047,逢甲大學,材料科學與工程學系,化x2.00 英x2.00 數甲x1.00 物x1.50 國x1.00,24,265,-----
1050,逢甲大學,環境工程與科學學系,數甲x1.75 化x2.00 國x2.00 英x1.00,17,216.5,-----
1051,逢甲大學,光電科學與工程學系,數甲x1.50 英x1.50 國x2.00,33,181.5,-----
1052,逢甲大學,會計學系,英x1.50 國x1.50 數Bx1.25 地x1.00 歷x1.00,49,192.75,216.25
1053,逢甲大學,國際經營與貿易學系,英x2.00 數Bx1.00 國x1.00 地x1.00,36,142,-----
1054,逢甲大學,國際企業管理全英語學士學位學程,英x2.00 數Bx1.50 國x1.50 地x1.00,4,164,-----
1055,逢甲大學,財稅學系,英x1.50 數Bx1.50 國x1.25 歷x1.00,12,157,-----
1056,逢甲大學,合作經濟暨社會事業經營學系,英x2.00 國x1.50 歷x1.00 數Bx1.00,5,157,-----
1057,逢甲大學,統計學系商業大數據組,數Bx2.00 英x1.50 國x1.00 地x1.00,11,152.5,-----
1060,逢甲大學,統計學系大數據分析與市場決策組,數Bx2.00 英x1.50 地x1.00,12,114.5,122.4
1061,逢甲大學,經濟學系,數Bx1.50 英x1.50 公x1.50 國x1.00,24,168,-----
1062,逢甲大學,企業管理學系,英x2.00 國x1.50 數Bx1.00 歷x1.50,50,176,-----
1063,逢甲大學,行銷學系,國x2.00 英x2.00 數Bx1.75 歷x1.00,23,196.5,-----
1064,逢甲大學,中國文學系,國x2.00 歷x2.00 英x1.25,11,179.25,-----
1065,逢甲大學,外國語文學系,英x2.00 國x1.75 歷x1.50,40,156.5,-----
1066,逢甲大學,資訊工程學系,數甲x1.50 英x1.50 國x1.00,33,154,-----
1067,逢甲大學,電子工程學系,數甲x1.75 英x1.00 國x1.00,23,142.75,-----
1070,逢甲大學,電機工程學系,數甲x1.25 物x1.25 國x1.50 英x1.00,49,192,-----
1071,逢甲大學,自動控制工程學系,數甲x1.75 英x1.00 國x1.25,21,140.25,-----
1072,逢甲大學,資訊電機學院學士班,數甲x1.50 國x1.50 英x1.00,24,153,-----
1073,逢甲大學,通訊工程學系,數甲x2.00 國x1.75 英x1.50,22,190.25,-----
1074,逢甲大學,土木工程學系,國x2.00 數甲x1.50 物x2.00 英x1.00,15,208.5,-----
1075,逢甲大學,水利工程與資源保育學系,數甲x1.00 英x2.00 國x2.00,17,172,-----
1076,逢甲大學,都市計畫與空間資訊學系,國x2.00 地x2.00 英x1.00 數Bx1.00,23,201,-----
1077,逢甲大學,運輸與物流學系,英x2.00 國x2.00 數Bx1.75 公x1.00,14,203.25,-----
1100,逢甲大學,土地管理學系,國x1.50 地x1.50 英x1.00 歷x1.00 數Bx1.00,13,207.5,-----
1101,逢甲大學,財務金融學系,英x1.50 數Bx1.00 國x1.00 公x1.00,35,152,-----
1102,逢甲大學,風險管理與保險學系,國x1.50 地x1.50 英x1.00 數Bx1.00,12,159,-----
1103,逢甲大學,財務工程與精算學士學位學程,數Bx2.00 英x1.50 地x1.25 國x1.00,12,164,-----
1104,逢甲大學,建築專業學院學士班,國x2.00 英x2.00 數Ax1.75 物x1.00,12,241.75,-----
1105,逢甲大學,室內設計學士學位學程,國x2.00 歷x2.00 數Bx1.75 英x1.00,9,232.5,-----
1106,逢甲大學,人工智慧技術與應用學士學位學程,數甲x1.50 英x1.25 國x1.00,8,138,-----
1107,國立中央大學,中國文學系,國x2.00 英x1.50 歷x1.50 地x1.00,21,276.5,-----
,,,113學年度最低錄取標準-第18頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1110,國立中央大學,英美語文學系,英x2.00 國x1.50 歷x1.25 地x1.00,24,270.25,-----
1111,國立中央大學,法國語文學系,英x2.00 國x1.50 歷x1.25 公x1.00 地x1.00,21,316.25,-----
1112,國立中央大學,文學院學士班,英x1.00 歷x1.25 公x1.25 國x1.00 數Bx1.00,12,239,-----
1113,國立中央大學,數學系計算與資料科學組,數甲x1.50 物x1.25 英x1.25 國x1.00,12,211.5,-----
1114,國立中央大學,數學系數學科學組,數甲x1.50 物x1.25 英x1.25 國x1.00,18,208.75,-----
1115,國立中央大學,物理學系,物x1.50 數甲x1.50 英x1.00 國x1.00,18,223,-----
1116,國立中央大學,化學學系,化x1.00 英x1.00 數甲x1.00 物x1.00 國x1.00,25,225,-----
1117,國立中央大學,光電科學與工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00,20,182,-----
1120,國立中央大學,理學院學士班,數甲x1.50 物x1.50 化x1.50 英x1.00 國x1.00,9,290,-----
1121,國立中央大學,土木工程學系,數甲x2.00 物x2.00 英x1.50 國x1.00 化x1.00,69,303,-----
1122,國立中央大學,機械工程學系先進材料與精密製造組,物x2.00 英x1.50 數甲x2.00 化x1.00 國x1.00,16,332,-----
1123,國立中央大學,機械工程學系光機電工程組,物x2.00 英x1.50 數甲x2.00 化x1.00 國x1.00,15,333,-----
1124,國立中央大學,機械工程學系設計與分析組,物x2.00 英x1.50 數甲x2.00 化x1.00 國x1.00,18,327.5,-----
1125,國立中央大學,化學工程與材料工程學系,數甲x1.00 英x1.00 物x1.00 化x1.00 國x1.00,20,232,-----
1126,國立中央大學,工學院學士班,數甲x1.00 英x1.00 物x1.00 化x1.00,17,179,-----
1127,國立中央大學,企業管理學系,英x2.00 數Bx2.00 國x1.50 公x1.00,52,287,-----
1130,國立中央大學,資訊管理學系,數甲x2.00 英x2.00 國x1.50,60,251,282.85
1131,國立中央大學,經濟學系,數Bx2.00 英x2.00 國x1.25 公x1.00,19,286,-----
1132,國立中央大學,財務金融學系,英x1.50 國x1.00 公x1.00 地x1.00,24,222,-----
1133,國立中央大學,電機工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00,30,199,-----
1134,國立中央大學,資訊工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00,29,195,-----
1135,國立中央大學,通訊工程學系,數甲x1.50 物x1.50 英x1.00 化x1.00,18,229,-----
1136,國立中央大學,資訊電機學院學士班,數甲x1.00 英x1.00 物x1.00 化x1.00,8,196,-----
1137,國立中央大學,大氣科學學系,物x2.00 數甲x2.00 英x1.00 化x1.00 國x1.00,11,290,-----
1140,國立中央大學,太空科學與工程學系,物x2.00 數甲x2.00 英x1.00 化x1.00 國x1.00,10,303,-----
1141,國立中央大學,地球科學學系,物x2.00 數甲x2.00 英x1.50 化x1.00,31,250.5,-----
1142,國立中央大學,地球科學學院學士班,物x2.00 數甲x2.00 化x1.00,9,194,-----
,,客家語文暨社會科學學系客家語文及傳,,,,
1143,國立中央大學,,國x1.50 公x1.50 英x1.00 數Bx1.00 歷x1.00,8,248.5,-----
,,播組,,,,
,,客家語文暨社會科學學系客家社會及政,,,,
1144,國立中央大學,,國x1.50 公x1.50 英x1.00 數Bx1.00 歷x1.00,6,250,-----
,,策組,,,,
1145,國立中央大學,生命科學系,生x1.50 化x1.25 英x1.00 數甲x1.00 國x1.00,20,251,-----
1146,國立中央大學,生醫科學與工程學系,物x1.25 化x1.25 數甲x1.00 英x1.00,9,200.75,-----
1147,中國文化大學,哲學系,國x2.00 社x2.00 公x1.00,14,100,-----
,,,113學年度最低錄取標準-第19頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1150,中國文化大學,中國文學系中國文學組,國x1.25 社x1.00 歷x1.00,6,71.75,-----
1151,中國文化大學,中國文學系文藝創作組,國x1.25 社x1.00 歷x1.00,3,75.5,-----
1152,中國文化大學,史學系,歷x2.00 社x1.00 國x1.00,8,98,-----
1153,中國文化大學,日本語文學系,公x1.50 社x1.50 國x2.00,40,115.5,-----
1154,中國文化大學,韓國語文學系,國x1.25 歷x1.00 公x1.00,36,95.75,-----
1155,中國文化大學,英國語文學系,英x1.50 公x1.00 國x1.00,7,73,-----
1156,中國文化大學,法國語文學系,公x2.00 國x1.50 社x1.00,3,102,-----
1157,中國文化大學,全球商務學士學位學程,英x2.00 數Bx1.00 國x1.00 公x1.00,2,73,-----
1160,中國文化大學,應用數學系,數甲x2.00 國x2.00 英x1.50,33,139,-----
1161,中國文化大學,光電物理學系,物x2.00 數Ax1.50 自x2.00 英x1.00 國x1.00,32,177.5,189.5
1162,中國文化大學,化學系,自x2.00 化x2.00 國x1.50,30,162.5,-----
1163,中國文化大學,地理學系A組,物x2.00 自x1.50 國x1.00,5,106.5,-----
1164,中國文化大學,地理學系B組,地x2.00 社x1.50 國x1.00,5,138,-----
1165,中國文化大學,大氣科學系,數甲x1.50 物x1.50 國x1.00,21,79.5,-----
1166,中國文化大學,地質學系,化x1.50 英x1.25 國x1.00,13,78.25,-----
1167,中國文化大學,生命科學系,國x1.00 生x1.00 英x1.00,11,92,-----
1170,中國文化大學,法律學系,公x2.00 國x1.00 歷x1.00,57,137,138
1171,中國文化大學,政治學系,公x2.00 社x1.50 國x1.00,12,105.5,-----
1172,中國文化大學,經濟學系,國x1.00 數Bx1.00 公x1.50,15,57.5,-----
1173,中國文化大學,勞動暨人力資源學系,地x2.00 社x1.50 國x1.00,5,112.5,-----
1174,中國文化大學,社會福利學系,國x1.50 公x1.00 歷x1.00 英x1.00,11,87,-----
1175,中國文化大學,行政管理學系,社x1.50 公x2.00 國x1.50,8,105.5,-----
1176,中國文化大學,園藝暨生物技術學系,自x2.00 國x2.00 化x1.50,8,144,-----
1177,中國文化大學,動物科學系,國x1.50 自x1.00 生x1.00,27,101,108.8
1200,中國文化大學,森林暨自然保育學系(A組),國x1.00 社x1.00 公x1.00,2,101,-----
1201,中國文化大學,森林暨自然保育學系(B組),國x1.00 自x1.00 生x1.00,8,80,86.4
1202,中國文化大學,土地資源學系科技應用組,化x2.00 國x1.25 數Bx1.00,10,95.5,-----
1203,中國文化大學,土地資源學系土地管理組,地x2.00 國x1.25 數Bx1.00,7,75.75,-----
1204,中國文化大學,生活應用科學系,國x2.00 社x2.00 公x1.75,10,122,-----
1205,中國文化大學,保健營養學系,化x2.00 自x1.00 國x2.00,19,133,-----
1206,中國文化大學,化學工程與材料工程學系(程序工程組),化x2.00 數甲x1.00 國x1.00,10,107,-----
1207,中國文化大學,化學工程與材料工程學系(材料工程組),物x2.00 數甲x1.00 國x1.00,13,100,-----
1210,中國文化大學,化學工程與材料工程學系(生化工程組),生x2.00 數甲x1.00 國x1.00,9,113,-----
,,,113學年度最低錄取標準-第20頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1211,中國文化大學,電機工程學系A組,國x2.00 數Ax2.00 物x1.00,23,154,-----
1212,中國文化大學,電機工程學系B組,國x2.00 英x1.00 數Ax1.00 物x1.00,24,147,-----
1213,中國文化大學,機械工程學系,數Ax2.00 物x2.00 國x1.00,66,110,-----
1214,中國文化大學,紡織工程學系,國x2.00 化x1.00 數Ax1.00,6,98,-----
1215,中國文化大學,資訊工程學系A組,數Ax2.00 物x2.00 國x2.00 英x1.00,76,171,196.9
1216,中國文化大學,資訊工程學系B組,數Bx2.00 國x2.00 歷x2.00 英x1.00,5,185,-----
1217,中國文化大學,國際貿易學系,國x1.00 社x1.00 公x1.00,19,64,-----
1220,中國文化大學,國際企業管理學系,國x1.00 社x1.00 公x2.00,12,82,-----
1221,中國文化大學,會計學系,國x2.00 公x1.75 數Bx1.00,13,86.75,-----
1222,中國文化大學,觀光事業學系,國x1.75 英x1.75 歷x1.50,10,92.75,-----
1223,中國文化大學,資訊管理學系(智慧商務科技組),公x2.00 國x1.00 英x1.00,10,73,-----
1224,中國文化大學,資訊管理學系(人工智慧組),公x2.00 數Bx1.00 國x1.00,21,71,-----
1225,中國文化大學,財務金融學系金融行銷組,公x2.00 歷x2.00 國x1.50,8,115,-----
1226,中國文化大學,財務金融學系財務金融組,公x2.00 國x1.50 數Bx1.00,33,82,-----
1227,中國文化大學,財務金融學系數位金融組,公x2.00 歷x1.75 國x1.50,5,112.5,-----
1230,中國文化大學,行銷學士學位學程,國x1.00 歷x2.00 公x2.00 英x1.00,5,118,-----
1231,中國文化大學,新聞學系,公x2.00 國x1.75 英x1.75,13,105,-----
1232,中國文化大學,廣告學系A組,國x2.00 英x2.00 公x1.00,12,85,-----
1233,中國文化大學,廣告學系B組,術x1.00 國x1.00 公x1.00,1,55.6,-----
1234,中國文化大學,資訊傳播學系,國x2.00 英x1.00 公x1.75,13,90.75,-----
1235,中國文化大學,大眾傳播學系,國x2.00 英x1.50 公x1.00 社x1.50 數Bx1.00,57,128.5,132.5
1236,中國文化大學,美術學系,國x2.00 術x2.00 歷x1.00 地x1.00 英x1.00,7,198.92,-----
1237,中國文化大學,音樂學系A組,術x2.00 國x1.00 英x1.00 歷x1.00,0,-----,-----
1240,中國文化大學,音樂學系B組,國x2.00 英x1.50 歷x1.00,2,88,-----
1241,中國文化大學,戲劇學系,國x1.25 英x1.00 歷x1.00,9,91,-----
1242,中國文化大學,中國戲劇學系,國x1.00 社x1.00 歷x1.00 公x1.00,3,84,-----
1243,中國文化大學,都市計劃與開發管理學系,國x2.00 地x2.00 公x1.00,4,118,-----
1244,中國文化大學,建築及都市設計學系建築及室內設計組,國x2.00 英x1.00 地x1.00,14,116,-----
1245,中國文化大學,建築及都市設計學系建築及都市設計組,國x2.00 英x1.00 物x1.00,13,114,-----
1246,中國文化大學,景觀學系A組,國x2.00 英x2.00 地x1.00,11,83,-----
1247,中國文化大學,景觀學系B組,國x2.00 英x2.00 生x1.00,12,105,-----
1250,中國文化大學,教育學系,公x2.00 社x2.00 國x1.50,8,128.5,-----
1251,中國文化大學,心理輔導學系,國x1.50 英x1.00 公x2.00,11,142.5,-----
,,,113學年度最低錄取標準-第21頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1252,靜宜大學,英國語文學系,英x2.00 國x1.50 公x1.00,22,91,-----
1253,靜宜大學,西班牙語文學系,國x2.00 英x1.50 歷x1.00,11,110,-----
1254,靜宜大學,日本語文學系,國x2.00 英x1.00 歷x1.50,50,126.5,-----
1255,靜宜大學,中國文學系,國x2.00 歷x2.00 地x1.00,13,111,-----
1256,靜宜大學,社會工作與兒童少年福利學系,國x2.00 公x2.00 英x1.00,27,137,141.75
1257,靜宜大學,台灣文學系,國x2.00 社x2.00 歷x1.25,8,128,-----
1260,靜宜大學,法律學系,國x2.00 公x2.00 歷x1.00,37,181,199
1261,靜宜大學,生態人文學系(自然組),生x2.00 國x1.00 英x1.00,6,118,-----
1262,靜宜大學,生態人文學系(人文組),歷x2.00 國x1.00 英x1.00,8,83,-----
1263,靜宜大學,大眾傳播學系,國x2.00 英x2.00 歷x1.75,25,150.5,156.15
,,,,,,
,,,,,,
1264,靜宜大學,財務工程學系(智慧金融組),數Bx2.00 國x2.00 公x1.00,9,132,-----
,,,,,,
,,,,,,
1265,靜宜大學,財務工程學系(數位金融組),數Bx2.00 國x2.00 物x1.00,9,140,-----
1266,靜宜大學,應用化學系,化x2.00 自x2.00 國x1.75,22,185.25,-----
1267,靜宜大學,食品營養學系營養與保健組,自x2.00 國x2.00 化x1.00,8,160,-----
1270,靜宜大學,食品營養學系食品與生物技術組,自x2.00 國x2.00 化x1.00,19,154,-----
1271,靜宜大學,化粧品科學系,化x2.00 國x2.00 英x1.00,38,129,-----
,,資料科學暨大數據分析與應用學系(人工,,,,
1272,靜宜大學,,數Bx2.00 國x2.00 物x1.00,21,139,141.45
,,智慧應用組),,,,
,,資料科學暨大數據分析與應用學系(大數,,,,
1273,靜宜大學,,數Bx2.00 國x2.00 公x1.00,11,119,-----
,,據應用組),,,,
1274,靜宜大學,企業管理學系,國x2.00 英x2.00 歷x1.00,44,112,-----
1275,靜宜大學,國際企業學系(國際經營與行銷組),英x1.50 國x1.50 公x1.00,13,100,-----
1276,靜宜大學,國際企業學系(國際貿易與運籌組),英x1.50 國x1.50 歷x1.00,12,95.5,-----
1277,靜宜大學,會計學系,國x2.00 英x1.00 歷x2.00,26,130,134.9
1300,靜宜大學,觀光事業學系,國x1.00 地x1.00 歷x1.00,16,78,-----
1301,靜宜大學,財務金融學系(金融管理組),國x2.00 英x1.50 歷x2.00,12,167,-----
1302,靜宜大學,財務金融學系(投資管理組),國x2.00 英x1.50 地x2.00,7,176.5,-----
1303,靜宜大學,財務金融學系(金融科技組),國x2.00 英x1.50 公x2.00,2,181.5,-----
1304,靜宜大學,資訊管理學系(人工智慧應用組),數Bx1.75 國x2.00 物x1.00,12,144.5,-----
1305,靜宜大學,資訊管理學系(巨量資料管理組),數Bx1.50 國x2.00 公x1.75,6,144,-----
1306,靜宜大學,資訊管理學系(社群商務應用組),數Bx1.00 國x2.00 歷x1.75,5,134.5,-----
1307,靜宜大學,資訊工程學系(智慧電子與IC設計組),物x2.00 數Bx1.00 英x1.00,6,104,-----
,,,113學年度最低錄取標準-第22頁,,,
系組,,,,錄取人數,普通生,原住民
,校名,系組名,採計及加權,,,
代碼,,,,(含外加),錄取分數,錄取分數
1310,靜宜大學,資訊工程學系(智慧晶片與機器人組),數Bx1.50 英x1.00 歷x1.00,6,94,-----
